#{"t_start": 1690330778.5383134, "env_id": null}
r,l,t
90.954109,187,1276.265688
263.226698,104,1278.023741
43.627643,201,1281.512067
177.704638,61,1282.559588
274.476806,122,1284.664219
108.476304,12,1284.912813
173.800281,43,1285.65996
218.697956,76,1287.005054
144.46946,29,1287.519568
139.940925,37,1288.171095
254.579344,94,1289.781205
220.467903,73,1291.025726
256.06714,94,1292.636502
256.760003,119,1294.635857
128.28421,201,1298.003959
199.115045,78,1299.373027
116.837761,11,1299.588162
138.89512,25,1300.037259
155.124411,69,1301.243275
309.4221,130,1303.429142
193.154584,63,1304.609247
143.880051,28,1305.105642
134.481406,19,1305.471092
182.745571,57,1306.453097
224.432799,80,1307.81395
240.904826,108,1309.788782
177.965239,45,1310.703522
136.544808,21,1311.082724
166.235798,73,1312.317252
168.60325,54,1313.246008
225.943353,90,1314.859735
198.49171,60,1315.885951
211.031707,69,1317.083067
205.116047,65,1318.217577
216.862108,85,1319.687191
198.140834,76,1321.004293
142.300859,25,1321.495424
176.560627,54,1322.426432
121.616416,21,1322.804852
215.438757,72,1324.053673
130.430823,24,1324.497228
337.138906,162,1327.284249
248.267656,89,1328.823136
143.170021,201,1332.251513
186.751318,51,1333.141685
240.63296,115,1335.097016
319.133058,132,1337.336994
257.914022,105,1339.203811
174.799227,42,1339.956089
199.540873,93,1341.55544
216.397349,120,1343.609319
210.270447,95,1345.255849
180.946769,73,1346.518852
186.769162,67,1347.667444
88.300196,15,1347.953067
-733.181978,201,1351.371901
-1115.133255,201,1354.801296
181.154799,51,1355.684992
184.022023,53,1356.599256
185.805589,49,1357.461806
210.335047,146,1359.915694
253.122025,112,1361.840199
210.323737,71,1363.043457
137.276466,28,1363.559447
171.924736,46,1364.351698
220.560431,134,1366.628589
94.914185,65,1367.783108
-194.887191,181,1371.039584
25.824778,201,1374.455367
208.45058,92,1376.039342
203.496337,67,1377.183825
188.613981,56,1378.150077
213.37184,70,1379.383301
-9.037933,130,1381.636064
162.125663,41,1382.369774
108.211373,11,1382.584566
203.930122,62,1383.655037
256.699146,101,1385.360032
251.737834,97,1386.998742
63.646622,201,1390.419378
205.4634,126,1392.579521
207.396512,73,1393.817567
180.235837,53,1394.776583
40.714454,201,1398.204074
193.627155,69,1399.440838
309.310654,146,1402.009408
258.739785,91,1403.589289
187.882332,81,1404.976518
256.314732,99,1406.718339
195.650957,68,1407.912879
228.906219,80,1409.268033
51.223578,201,1412.692514
155.15918,68,1413.853632
199.615296,64,1415.020733
246.477539,99,1416.688101
228.552268,84,1418.118896
85.261831,102,1419.879117
195.701895,75,1421.178244
-62.493705,187,1424.351631
261.956572,92,1425.923305
257.573079,117,1427.917437
168.090364,65,1429.028673
147.149197,27,1429.511712
138.876223,201,1432.899398
173.285049,42,1433.628282
266.903396,100,1435.329171
107.457783,4,1435.431376
150.581176,201,1438.7878
-555.63553,201,1442.168361
164.701207,44,1442.94974
196.3795,72,1444.203507
49.816994,201,1447.635694
241.261247,119,1449.66898
165.768152,42,1450.394921
121.280753,43,1451.163
205.112917,58,1452.163277
207.420033,69,1453.373518
129.985169,22,1453.769633
203.491681,58,1454.794712
194.811375,71,1456.006676
30.351636,192,1459.284481
262.570226,102,1461.03303
182.769167,57,1462.011509
206.121873,67,1463.154893
258.338005,160,1465.891019
215.042516,65,1466.989655
237.054891,81,1468.370155
151.901956,201,1471.782357
195.592286,62,1472.867597
272.091142,108,1474.723928
241.959821,99,1476.416517
134.999,22,1476.814174
116.977297,24,1477.241316
175.764412,90,1478.798416
275.903209,105,1480.586556
212.801004,98,1482.276784
130.871709,23,1482.69016
273.520146,160,1485.403381
225.528113,74,1486.665095
212.463781,73,1487.907846
254.344026,96,1489.566605
177.851771,44,1490.334395
202.639877,114,1492.277432
204.629171,64,1493.39106
260.969747,107,1495.187074
234.621691,75,1496.481873
10.046449,120,1498.507844
150.701553,40,1499.202983
292.737693,181,1502.517717
241.843386,201,1505.929512
166.688662,68,1507.096653
211.294774,71,1508.325828
239.006127,93,1509.899874
44.497099,201,1513.30892
180.027903,57,1514.342533
200.517909,109,1516.187248
231.303685,78,1517.51722
140.143315,30,1518.051918
206.446194,70,1519.298862
288.919563,155,1521.918196
213.919544,64,1523.018642
135.104093,26,1523.487914
116.440429,11,1523.699284
210.477229,61,1524.752204
139.760283,28,1525.267479
244.358848,88,1526.776335
175.425236,71,1527.979974
146.864223,30,1528.511653
158.545483,38,1529.171289
242.462854,89,1530.73913
270.807135,166,1533.592877
246.121172,92,1535.172913
168.6681,44,1535.956999
196.683928,63,1537.055622
184.937528,54,1537.999394
139.329493,38,1538.665193
190.889623,54,1539.592818
69.921613,155,1542.238517
213.536806,71,1543.452876
205.268044,135,1545.772242
305.355387,139,1548.12876
124.328099,119,1550.167773
198.798797,62,1551.232695
237.142843,95,1552.907849
218.442164,90,1554.431731
252.65711,93,1556.015398
268.92987,116,1557.988316
173.92107,48,1558.820376
207.377892,75,1560.129857
-37.378585,201,1563.567255
76.336188,61,1564.623426
143.679738,32,1565.18829
174.657421,49,1566.037828
158.603668,35,1566.65081
189.952893,91,1568.228122
157.029354,50,1569.085216
248.768995,96,1570.732685
320.850369,177,1573.702872
