#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
101.899999,76,860.479922
103.599999,78,861.843831
-16.7,72,863.066817
104.599999,55,864.045879
103.099999,61,865.095243
101.799998,45,865.911046
104.699999,59,866.92525
-19.5,11,867.139284
102.899999,47,867.958801
-17.3,39,868.672181
102.599999,44,869.435716
103.599999,57,870.444353
102.899999,65,871.559415
102.499999,76,872.882252
100.899998,21,873.268719
-14.8,82,874.657502
102.899999,80,876.052036
-19.1,72,877.318133
100.499998,47,878.134926
-17.8,37,878.778535
102.599999,35,879.431076
101.599998,58,880.420748
103.499999,50,881.286749
104.299999,70,882.508009
103.399999,73,883.785879
-14.4,92,885.351016
102.999999,51,886.261293
-22.700001,21,886.629086
103.399999,49,887.472261
102.900003,68,888.673378
-17.4,38,889.337116
101.799998,24,889.769435
101.599998,82,891.198875
101.499998,42,891.927415
-20.5,43,892.719557
103.199999,62,893.776756
-14.9,60,894.811543
102.499999,58,895.844241
106.599999,87,897.351724
103.399999,97,898.994565
101.199998,30,899.557027
-17.4,29,900.072127
101.399998,38,900.738594
100.699998,16,901.035439
100.999998,64,902.155483
-18.0,65,903.263091
101.999999,26,903.733464
106.199999,83,905.172004
104.399999,80,906.568608
-19.0,13,906.819692
-17.4,47,907.636057
102.299999,65,908.775858
101.799998,48,909.613715
104.899999,103,911.411314
104.899999,85,912.893025
103.899999,72,914.119321
103.299999,60,915.183638
-18.2,24,915.617956
100.999998,40,916.312123
101.499998,45,917.095835
99.599998,80,918.494607
101.599998,28,918.998244
101.399998,128,921.194062
102.200003,76,922.52108
102.499999,103,924.279386
100.699998,10,924.478383
102.799999,40,925.179727
99.999998,87,926.682643
-16.1,66,927.812683
102.599999,68,928.999242
-20.800001,7,929.149252
101.299998,19,929.498889
100.099998,43,930.24851
104.099999,77,931.596111
-17.7,65,932.706991
103.899999,45,933.539308
100.699998,46,934.336082
101.199998,30,934.866372
-17.8,46,935.695489
-18.1,55,936.643863
-18.1,55,937.625328
101.399998,128,939.822835
-17.5,43,940.574035
101.199998,21,940.955863
101.499998,51,941.872248
-19.4,6,942.004693
102.599999,53,942.917768
-19.0,19,943.271677
100.799998,26,943.739306
-19.0,10,943.919773
-16.1,45,944.739096
-18.9,62,945.793825
101.899999,28,946.27832
-18.3,23,946.728744
103.699999,82,948.13105
100.599998,93,949.738627
-19.3,13,949.99067
101.699998,47,950.806082
-19.1,15,951.122302
100.799998,14,951.393012
101.899999,25,951.837182
-19.3,22,952.237217
104.599999,70,953.467874
104.099999,146,955.953349
100.499998,158,958.626777
104.299999,64,959.734391
102.299999,128,961.924408
100.999998,28,962.423385
-16.7,60,963.452706
-18.3,47,964.301906
100.699998,16,964.600702
103.099999,64,965.698499
101.599998,40,966.399349
104.399999,92,967.995929
103.299999,114,969.959409
101.899999,61,971.034272
-19.4,51,971.914711
-19.6,46,972.716108
103.899999,42,973.480561
102.199999,121,975.563215
103.699999,70,976.759645
104.799999,105,978.573311
103.499999,83,980.039204
100.499998,29,980.552612
104.299999,67,981.700303
104.299999,73,982.97776
101.499998,39,983.650899
100.999998,97,985.325983
-18.9,14,985.594706
102.099999,42,986.323071
104.499999,99,988.032107
101.899999,79,989.407519
104.799999,54,990.338936
99.899998,11,990.559856
100.799998,8,990.728037
103.199999,74,992.017138
106.899999,78,993.377191
104.499999,81,994.759267
-17.7,53,995.71994
101.199998,69,996.900229
-18.1,28,997.404969
101.499998,15,997.719245
102.699999,81,999.099586
101.199998,18,999.432397
103.399999,37,1000.116496
101.999999,71,1001.329501
-13.1,135,1003.642395
102.999999,36,1004.268539
104.700003,62,1005.363991
-17.4,38,1006.029141
-18.6,20,1006.39749
101.799998,42,1007.163926
103.799999,62,1008.230278
-20.300001,12,1008.4593
100.899998,39,1009.177557
103.699999,70,1010.371869
100.999998,25,1010.820104
102.099999,57,1011.853152
103.499999,59,1012.854989
106.699999,94,1014.484042
102.299999,29,1014.999122
104.499999,63,1016.124681
104.299999,82,1017.517932
-17.2,43,1018.29473
103.399999,46,1019.085901
-16.3,52,1019.985255
102.699999,45,1020.793144
103.999999,70,1021.99687
102.499999,34,1022.621467
-18.4,19,1022.976795
100.399998,103,1024.750717
106.499999,80,1026.114046
-20.5,19,1026.468295
100.999998,10,1026.666279
